Tanggal_Penerbangan,Hari,Maskapai,Nomor_Penerbangan,Bandara_Asal,Kode_IATA_Asal,Bandara_Tujuan,Kode_IATA_Tujuan,Jadwal_Keberangkatan,Jadwal_Kedatangan,Kota_tujuan,Cuaca_tujuan,Deskripsi_tujuan,Suhu_Celcius_tujuan,Kelembaban_%_tujuan,Tekanan_hPa_tujuan,Kecepatan_Angin_m/s_tujuan,Tanggal_tujuan
2025-07-28,Senin,China Airlines,CI8604,Soekarno-Hatta International,CGK,Juanda,SUB,735,835,Surabaya,Drizzle,gerimis,33.7,82,1014,1.7,2025-07-28
2025-07-28,Senin,Pelita Air,IP208,Soekarno-Hatta International,CGK,Juanda,SUB,755,850,Surabaya,Drizzle,gerimis,33.7,82,1014,1.7,2025-07-28
2025-07-28,Senin,Lion Air,JT22,Soekarno-Hatta International,CGK,Ngurah Rai International,DPS,680,850,Denpasar,Clear,cerah,29.0,88,1014,2.3,2025-07-28
2025-07-28,Senin,Batik Air,ID6406,Soekarno-Hatta International,CGK,Juanda,SUB,785,870,Surabaya,Thunderstorm,badai petir,29.1,70,1008,4.8,2025-07-28
2025-07-28,Senin,Super Air Jet,IU758,Soekarno-Hatta International,CGK,Ngurah Rai International,DPS,700,870,Denpasar,Thunderstorm,badai petir,25.6,77,1014,4.1,2025-07-28
2025-07-28,Senin,Batik Air,ID6863,Soekarno-Hatta International,CGK,Juanda,SUB,785,870,Surabaya,Thunderstorm,badai petir,29.1,70,1008,4.8,2025-07-28
2025-07-28,Senin,TransNusa,8B5102,Soekarno-Hatta International,CGK,Ngurah Rai International,DPS,705,875,Denpasar,Thunderstorm,badai petir,25.6,77,1014,4.1,2025-07-28
2025-07-28,Senin,Saudia,SV6172,Soekarno-Hatta International,CGK,Ngurah Rai International,DPS,700,880,Denpasar,Thunderstorm,badai petir,25.6,77,1014,4.1,2025-07-28
2025-07-28,Senin,Vietnam Airlines,VN3990,Soekarno-Hatta International,CGK,Ngurah Rai International,DPS,700,880,Denpasar,Thunderstorm,badai petir,25.6,77,1014,4.1,2025-07-28
2025-07-28,Senin,KLM,KL4028,Soekarno-Hatta International,CGK,Ngurah Rai International,DPS,700,880,Denpasar,Thunderstorm,badai petir,25.6,77,1014,4.1,2025-07-28
2025-07-28,Senin,Emirates,EK7294,Soekarno-Hatta International,CGK,Ngurah Rai International,DPS,700,880,Denpasar,Thunderstorm,badai petir,25.6,77,1014,4.1,2025-07-28
2025-07-28,Senin,Garuda Indonesia,GA408,Soekarno-Hatta International,CGK,Ngurah Rai International,DPS,700,880,Denpasar,Thunderstorm,badai petir,25.6,77,1014,4.1,2025-07-28
2025-07-28,Senin,Etihad Airways,EY7111,Soekarno-Hatta International,CGK,Ngurah Rai International,DPS,700,880,Denpasar,Thunderstorm,badai petir,25.6,77,1014,4.1,2025-07-28
2025-07-28,Senin,Air Europa,UX3551,Soekarno-Hatta International,CGK,Ngurah Rai International,DPS,700,880,Denpasar,Thunderstorm,badai petir,25.6,77,1014,4.1,2025-07-28
2025-07-28,Senin,Pelita Air,IP802,Soekarno-Hatta International,CGK,Hasanudin,UPG,690,890,Makassar,Clouds,berawan,26.3,61,1005,1.1,2025-07-28
2025-07-28,Senin,AirAsia,AK814,Soekarno-Hatta International,CGK,Ngurah Rai International,DPS,715,890,Denpasar,Thunderstorm,badai petir,25.6,77,1014,4.1,2025-07-28
2025-07-28,Senin,Pelita Air,IP108,Soekarno-Hatta International,CGK,Ngurah Rai International,DPS,725,895,Denpasar,Thunderstorm,badai petir,25.6,77,1014,4.1,2025-07-28
2025-07-28,Senin,Super Air Jet,IU742,Soekarno-Hatta International,CGK,Ngurah Rai International,DPS,760,930,Denpasar,Thunderstorm,badai petir,25.6,77,1014,4.1,2025-07-28
2025-07-28,Senin,KLM,KL4032,Soekarno-Hatta International,CGK,Juanda,SUB,840,935,Surabaya,Thunderstorm,badai petir,29.1,70,1008,4.8,2025-07-28
2025-07-28,Senin,Saudia,SV6148,Soekarno-Hatta International,CGK,Juanda,SUB,840,935,Surabaya,Thunderstorm,badai petir,29.1,70,1008,4.8,2025-07-28
2025-07-28,Senin,Malaysia Airlines,MH4040,Soekarno-Hatta International,CGK,Juanda,SUB,840,935,Surabaya,Thunderstorm,badai petir,29.1,70,1008,4.8,2025-07-28
2025-07-28,Senin,Emirates,EK7262,Soekarno-Hatta International,CGK,Juanda,SUB,840,935,Surabaya,Thunderstorm,badai petir,29.1,70,1008,4.8,2025-07-28
2025-07-28,Senin,Garuda Indonesia,GA310,Soekarno-Hatta International,CGK,Juanda,SUB,840,935,Surabaya,Thunderstorm,badai petir,29.1,70,1008,4.8,2025-07-28
2025-07-28,Senin,Lion Air,JT782,Soekarno-Hatta International,CGK,Hasanudin,UPG,740,940,Makassar,Clouds,berawan,26.3,61,1005,1.1,2025-07-28
2025-07-28,Senin,AirAsia,AK806,Soekarno-Hatta International,CGK,Ngurah Rai International,DPS,765,945,Denpasar,Thunderstorm,badai petir,25.6,77,1014,4.1,2025-07-28
2025-07-28,Senin,Pelita Air,IP206,Soekarno-Hatta International,CGK,Juanda,SUB,865,955,Surabaya,Drizzle,gerimis,30.2,78,1010,3.5,2025-07-28
2025-07-28,Senin,Lion Air,JT619,Soekarno-Hatta International,CGK,Juanda,SUB,880,965,Surabaya,Drizzle,gerimis,30.2,78,1010,3.5,2025-07-28
2025-07-28,Senin,Lion Air,JT692,Soekarno-Hatta International,CGK,Juanda,SUB,880,965,Surabaya,Drizzle,gerimis,30.2,78,1010,3.5,2025-07-28
2025-07-28,Senin,Lion Air,JT171,Soekarno-Hatta International,CGK,Juanda,SUB,880,965,Surabaya,Drizzle,gerimis,30.2,78,1010,3.5,2025-07-28
2025-07-28,Senin,Super Air Jet,IU900,Soekarno-Hatta International,CGK,Minangkabau International Airport,PDG,880,985,Padang,Drizzle,gerimis,26.7,77,1005,4.2,2025-07-28
2025-07-28,Senin,Saudia,SV6176,Soekarno-Hatta International,CGK,Ngurah Rai International,DPS,810,990,Denpasar,Thunderstorm,badai petir,27.1,87,1015,1.2,2025-07-28
